#    L    TT             EE             TE             PP             TP          
   253   0.446514E+04   0.711873E+01   0.112911E+03   0.139467E+07  -0.101894E+04
   254   0.442846E+04   0.730411E+01   0.113741E+03   0.138852E+07  -0.101390E+04
   255   0.439151E+04   0.749174E+01   0.114524E+03   0.138241E+07  -0.100892E+04
   256   0.435432E+04   0.768155E+01   0.115261E+03   0.137635E+07  -0.100401E+04
   257   0.431689E+04   0.787345E+01   0.115952E+03   0.137032E+07  -0.999158E+03
   258   0.427926E+04   0.806735E+01   0.116595E+03   0.136434E+07  -0.994370E+03
   259   0.424144E+04   0.826320E+01   0.117192E+03   0.135839E+07  -0.989644E+03
   260   0.420344E+04   0.846090E+01   0.117742E+03   0.135249E+07  -0.984980E+03
   261   0.416529E+04   0.866037E+01   0.118245E+03   0.134662E+07  -0.980378E+03
   262   0.412700E+04   0.886154E+01   0.118701E+03   0.134079E+07  -0.975836E+03
   263   0.408859E+04   0.906431E+01   0.119110E+03   0.133501E+07  -0.971354E+03
   264   0.405007E+04   0.926860E+01   0.119472E+03   0.132926E+07  -0.966932E+03
   265   0.401145E+04   0.947432E+01   0.119788E+03   0.132355E+07  -0.962570E+03
   266   0.397275E+04   0.968138E+01   0.120056E+03   0.131787E+07  -0.958266E+03
   267   0.393398E+04   0.988967E+01   0.120276E+03   0.131224E+07  -0.954020E+03
   268   0.389514E+04   0.100991E+02   0.120449E+03   0.130664E+07  -0.949832E+03
   269   0.385625E+04   0.103096E+02   0.120574E+03   0.130108E+07  -0.945701E+03
   270   0.381732E+04   0.105211E+02   0.120652E+03   0.129555E+07  -0.941626E+03
   271   0.377837E+04   0.107335E+02   0.120682E+03   0.129006E+07  -0.937608E+03
   272   0.373941E+04   0.109466E+02   0.120664E+03   0.128461E+07  -0.933646E+03
   273   0.370047E+04   0.111604E+02   0.120599E+03   0.127919E+07  -0.929738E+03
   274   0.366154E+04   0.113747E+02   0.120486E+03   0.127381E+07  -0.925885E+03
   275   0.362265E+04   0.115895E+02   0.120326E+03   0.126846E+07  -0.922086E+03
   276   0.358384E+04   0.118047E+02   0.120118E+03   0.126314E+07  -0.918341E+03
   277   0.354509E+04   0.120202E+02   0.119862E+03   0.125786E+07  -0.914649E+03
   278   0.350643E+04   0.122358E+02   0.119559E+03   0.125262E+07  -0.911009E+03
   279   0.346788E+04   0.124515E+02   0.119208E+03   0.124740E+07  -0.907421E+03
   280   0.342945E+04   0.126671E+02   0.118810E+03   0.124222E+07  -0.903885E+03
   281   0.339116E+04   0.128826E+02   0.118365E+03   0.123708E+07  -0.900400E+03
   282   0.335302E+04   0.130977E+02   0.117873E+03   0.123196E+07  -0.896965E+03
   283   0.331506E+04   0.133125E+02   0.117334E+03   0.122688E+07  -0.893580E+03
   284   0.327728E+04   0.135268E+02   0.116747E+03   0.122183E+07  -0.890245E+03
   285   0.323969E+04   0.137404E+02   0.116113E+03   0.121681E+07  -0.886959E+03
   286   0.320233E+04   0.139533E+02   0.115434E+03   0.121182E+07  -0.883720E+03
   287   0.316520E+04   0.141654E+02   0.114707E+03   0.120686E+07  -0.880530E+03
   288   0.312833E+04   0.143765E+02   0.113934E+03   0.120194E+07  -0.877388E+03
   289   0.309172E+04   0.145865E+02   0.113115E+03   0.119704E+07  -0.874292E+03
   290   0.305539E+04   0.147953E+02   0.112250E+03   0.119217E+07  -0.871242E+03
   291   0.301937E+04   0.150028E+02   0.111339E+03   0.118733E+07  -0.868238E+03
   292   0.298366E+04   0.152087E+02   0.110382E+03   0.118253E+07  -0.865280E+03
   293   0.294828E+04   0.154132E+02   0.109381E+03   0.117774E+07  -0.862366E+03
   294   0.291325E+04   0.156159E+02   0.108333E+03   0.117299E+07  -0.859497E+03
   295   0.287857E+04   0.158167E+02   0.107242E+03   0.116827E+07  -0.856672E+03
   296   0.284428E+04   0.160156E+02   0.106105E+03   0.116357E+07  -0.853889E+03
   297   0.281036E+04   0.162124E+02   0.104923E+03   0.115890E+07  -0.851150E+03
   298   0.277686E+04   0.164069E+02   0.103696E+03   0.115426E+07  -0.848452E+03
   299   0.274378E+04   0.165990E+02   0.102426E+03   0.114965E+07  -0.845797E+03
   300   0.271114E+04   0.167885E+02   0.101112E+03   0.114506E+07  -0.843183E+03
   301   0.267895E+04   0.169756E+02   0.997554E+02   0.114050E+07  -0.840609E+03
   302   0.264724E+04   0.171598E+02   0.983562E+02   0.113596E+07  -0.838074E+03
   303   0.261598E+04   0.173414E+02   0.969159E+02   0.113145E+07  -0.835578E+03
   304   0.258521E+04   0.175202E+02   0.954354E+02   0.112697E+07  -0.833118E+03
   305   0.255491E+04   0.176961E+02   0.939149E+02   0.112251E+07  -0.830693E+03
   306   0.252510E+04   0.178693E+02   0.923556E+02   0.111807E+07  -0.828301E+03
   307   0.249577E+04   0.180394E+02   0.907584E+02   0.111366E+07  -0.825942E+03
   308   0.246694E+04   0.182066E+02   0.891242E+02   0.110928E+07  -0.823615E+03
   309   0.243860E+04   0.183708E+02   0.874541E+02   0.110492E+07  -0.821316E+03
   310   0.241075E+04   0.185317E+02   0.857492E+02   0.110058E+07  -0.819046E+03
   311   0.238341E+04   0.186896E+02   0.840088E+02   0.109627E+07  -0.816803E+03
   312   0.235656E+04   0.188442E+02   0.822355E+02   0.109198E+07  -0.814585E+03
   313   0.233023E+04   0.189955E+02   0.804296E+02   0.108772E+07  -0.812391E+03
