#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.910638E-01   0.269165E+07   0.267564E+07  -0.199355E+02  -0.201134E+02   0.336184E+06   0.267853E+07   0.268913E+07   0.267853E+07  -0.639872E-01   0.164368E+07   0.164340E+07   0.995775E+00
   0.964575E-01   0.247973E+07   0.246305E+07  -0.163686E+02  -0.165147E+02   0.286626E+06   0.246723E+07   0.247711E+07   0.246723E+07  -0.589396E-01   0.151406E+07   0.151378E+07   0.954525E+00
   0.101851E+00   0.230243E+07   0.228606E+07  -0.136312E+02  -0.137529E+02   0.246974E+06   0.229061E+07   0.229986E+07   0.229061E+07  -0.547202E-01   0.140570E+07   0.140543E+07   0.869243E+00
   0.107245E+00   0.216108E+07   0.214597E+07  -0.115406E+02  -0.116435E+02   0.215685E+06   0.214995E+07   0.215871E+07   0.214995E+07  -0.513600E-01   0.131940E+07   0.131916E+07   0.751386E+00
   0.112638E+00   0.205075E+07   0.203756E+07  -0.992891E+01  -0.100175E+02   0.190902E+06   0.204031E+07   0.204868E+07   0.204031E+07  -0.487408E-01   0.125213E+07   0.125192E+07   0.620803E+00
   0.118032E+00   0.196155E+07   0.195052E+07  -0.865024E+01  -0.872740E+01   0.170702E+06   0.195176E+07   0.195982E+07   0.195176E+07  -0.466254E-01   0.119781E+07   0.119763E+07   0.498133E+00
   0.123426E+00   0.188253E+07   0.187343E+07  -0.759317E+01  -0.766090E+01   0.153474E+06   0.187331E+07   0.188110E+07   0.187331E+07  -0.447515E-01   0.114968E+07   0.114953E+07   0.399146E+00
   0.128819E+00   0.180498E+07   0.179728E+07  -0.668425E+01  -0.674387E+01   0.138124E+06   0.179626E+07   0.180377E+07   0.179626E+07  -0.429109E-01   0.110240E+07   0.110228E+07   0.331724E+00
   0.134213E+00   0.172396E+07   0.171698E+07  -0.588177E+01  -0.593423E+01   0.124059E+06   0.171566E+07   0.172287E+07   0.171566E+07  -0.409853E-01   0.105295E+07   0.105283E+07   0.295516E+00
   0.139607E+00   0.163843E+07   0.163153E+07  -0.516641E+01  -0.521249E+01   0.111066E+06   0.163047E+07   0.163735E+07   0.163047E+07  -0.389502E-01   0.100067E+07   0.100056E+07   0.283697E+00
   0.145000E+00   0.155029E+07   0.154302E+07  -0.453139E+01  -0.457180E+01   0.991589E+05   0.154262E+07   0.154915E+07   0.154262E+07  -0.368515E-01   0.946767E+06   0.946643E+06   0.285940E+00
   0.150394E+00   0.146309E+07   0.145529E+07  -0.397500E+01  -0.401045E+01   0.884388E+05   0.145567E+07   0.146186E+07   0.145567E+07  -0.347745E-01   0.893417E+06   0.893286E+06   0.291614E+00
   0.155788E+00   0.138109E+07   0.137286E+07  -0.349667E+01  -0.352785E+01   0.790155E+05   0.137394E+07   0.137980E+07   0.137394E+07  -0.328219E-01   0.843260E+06   0.843124E+06   0.292382E+00
   0.161181E+00   0.130837E+07   0.129998E+07  -0.309444E+01  -0.312203E+01   0.709552E+05   0.130148E+07   0.130706E+07   0.130148E+07  -0.310911E-01   0.798800E+06   0.798663E+06   0.283663E+00
   0.166575E+00   0.124729E+07   0.123910E+07  -0.276201E+01  -0.278664E+01   0.642096E+05   0.124068E+07   0.124600E+07   0.124068E+07  -0.296385E-01   0.761484E+06   0.761352E+06   0.264824E+00
